#      MET_(days)  I_b_end_(A)    Rx_(km)    Ry_(km)    Rz_(km)   Vx_(m/s)   Vy_(m/s)   Vz_(m/s)  Eccentricity  Inclin_(deg)  SemiMajorAxis   Arg_Perigee    RAAN_(deg)   TrueAnomly    Ne_(#/m^3)  Neut_(kg/m^3)    O_(#/m^3)  B0xE(nT)  B0yE(nT)  B0zE(nT)  |VxB0|_(V/m)
      0.576388889    0.0000000  -6063.760     -0.000  -3513.799   3789.398     -0.000  -6501.571   0.005000002    90.0000000      6978.1345     359.99997     360.00000  210.0912627   1.62963e+11     1.0304e-13   3.5496e+12 -27149.83  -5976.80   7048.24    0.15438004
      0.583333333    0.0000000  -2722.339     -0.000  -6439.794   6961.484     -0.000  -2905.087   0.005000003    90.0000000      6978.1345     359.99998     360.00000  247.0844411   2.01201e+11     2.2046e-13   7.7048e+12 -22994.02  -9802.85 -33275.49    0.30717422
      0.590277778    0.0000000   1720.448     -0.000  -6753.666   7324.054      0.000   1903.540   0.005000004    90.0000000      6978.1345     360.00000     360.00000  284.2917187   4.26423e+11     4.7521e-13   1.5773e+13  15204.17 -10993.60 -32908.00    0.28228827
      0.597222222    0.0000000   5456.685     -0.000  -4305.402   4681.568      0.000   5971.229   0.005000003    90.0000000      6978.1345       0.00001     360.00000  321.7260464   3.21182e+11     7.1695e-13   2.4552e+13  25058.69  -6962.16  -6520.88    0.18686854
      0.604166667    0.0000000   6942.738     -0.000    -84.037     91.478      0.000   7595.198   0.005000002    90.0000000      6978.1345       0.00002     360.00000  359.3064821   1.20019e+12     8.4253e-13   2.8746e+13   9303.46   -743.58  23606.92    0.06894798
      0.611111111    0.0000000   5558.683      0.000   4172.032  -4536.878      0.000   6082.582   0.005000000    90.0000000      6978.1344       0.00002     360.00000   36.8897912   2.11161e+11     4.9372e-13   1.7066e+13 -35279.53   1065.74   -426.75    0.21746223
      0.618055556    0.0000000   1882.003      0.000   6709.602  -7277.111      0.000   2078.976   0.004999999    90.0000000      6978.1344       0.00001     360.00000   74.3314993   1.83886e+11     1.8789e-13   5.9394e+12 -17668.51   1195.70 -38745.61    0.31889525
      0.625000000    0.0000000  -2567.533      0.000   6502.232  -7029.759     -0.000  -2738.047   0.004999999    90.0000000      6978.1344     359.99999     360.00000  111.5475532   1.15017e+11     8.0058e-14   2.0265e+12  22034.01  -3253.36 -37294.00    0.32343289
      0.631944444    0.0000000  -5978.197      0.000   3656.656  -3943.701     -0.000  -6409.691   0.005000000    90.0000000      6978.1344     359.99998     360.00000  148.5473404   3.86279e+10     7.5673e-14   1.9883e+12  30770.84  -4327.36   3469.46    0.18544894
      0.638888889    0.0000000  -6981.438     -0.000   -663.199    714.748     -0.000  -7486.300   0.005000001    90.0000000      6978.1343     359.99997     360.00000  185.4265321   1.11002e+11     7.2302e-14   2.3633e+12  -6068.26  -4352.98  23402.82    0.03537204
      0.645833333    0.0000000  -5178.002     -0.000  -4716.165   5089.286     -0.000  -5549.871   0.005000002    90.0000000      6978.1343     359.99997     360.00000  222.3275294   1.58064e+11     1.3478e-13   4.7387e+12 -35396.78  -7036.23 -10162.39    0.25284358
      0.652777778    0.0000000  -1286.664     -0.000  -6864.856   7428.608     -0.000  -1354.537   0.005000003    90.0000000      6978.1343     359.99999     360.00000  259.3843569   2.73742e+11     2.8987e-13   9.9322e+12  -6670.61  -9310.54 -43172.29    0.33720517
      0.659722222    0.0000000   3125.078     -0.000  -6221.574   6753.830      0.000   3430.218   0.005000004    90.0000000      6978.1343       0.00000     360.00000  296.6702389   3.14138e+11     5.2904e-13   1.8003e+13  21482.95  -7284.02 -18647.24    0.20656686
      0.666666667    0.0000000   6252.449     -0.000  -3027.125   3293.492      0.000   6840.414   0.005000003    90.0000000      6978.1343       0.00002     360.00000  334.1660211   3.11732e+11     8.4445e-13   2.8851e+13  22408.14  -2981.98    791.14    0.15200234
      0.673611111    0.0000000   6798.097      0.000   1415.834  -1541.024      0.000   7436.981   0.005000002    90.0000000      6978.1342       0.00003     360.00000   11.7647402   8.30945e+11     7.1936e-13   2.4706e+13  -7070.00   -570.46  24689.65    0.01679359
      0.680555556    0.0000000   4534.126      0.000   5274.253  -5731.265      0.000   4964.796   0.005000000    90.0000000      6978.1342       0.00002     360.00000   49.3152638   2.31241e+11     3.9677e-13   1.3624e+13 -33942.92     81.19 -15271.55    0.25635370
      0.687500000    0.0000000    403.114      0.000   6964.287  -7545.332      0.000    474.537   0.004999999    90.0000000      6978.1342       0.00001     360.00000   86.6872306   3.05154e+11     1.2822e-13   3.8508e+12  -5013.72   -685.19 -43148.42    0.32799071
      0.694444444    0.0000000  -3895.264      0.000   5813.005  -6278.653     -0.000  -4169.502   0.004999999    90.0000000      6978.1342     359.99999     360.00000  123.8258399   6.35502e+10     7.3694e-14   1.6929e+12  31897.95  -2645.97 -22479.47    0.27479593
      0.701388889    0.0000000  -6619.940      0.000   2308.971  -2489.084     -0.000  -7098.543   0.005000000    90.0000000      6978.1342     359.99998     360.00000  160.7717451   6.22443e+10     7.6407e-14   2.2637e+12  20071.53  -3629.99  16061.43    0.10407338
      0.708333333    0.0000000  -6681.630     -0.000  -2124.878   2290.529     -0.000  -7164.728   0.005000002    90.0000000      6978.1341     359.99997     360.00000  197.6416190   1.66781e+11     8.0867e-14   2.7189e+12 -25204.15  -5344.96  16890.22    0.14504366
      0.715277778    0.0000000  -4055.798     -0.000  -5703.143   6159.284     -0.000  -4342.393   0.005000003    90.0000000      6978.1341     359.99998     360.00000  234.5814326   1.91949e+11     1.7483e-13   6.1460e+12 -33151.35  -6749.62 -30123.29    0.33322104
      0.722222222    0.0000000    208.222     -0.000  -6973.811   7554.595      0.000    263.353   0.005000004    90.0000000      6978.1341     360.00000     360.00000  271.7102210   3.61994e+11     3.5864e-13   1.2310e+13  11431.80  -5703.73 -39048.58    0.30108841
      0.729166667    0.0000000   4384.421     -0.000  -5400.306   5867.609      0.000   4801.607   0.005000004    90.0000000      6978.1341       0.00001     360.00000  309.0725731   2.66520e+11     5.9173e-13   2.0343e+13  20529.42  -3806.21  -9139.87    0.15447946
