#                  NOMINAL TIMING        EARLY TIMING       LATE TIMING
#    mo. yr.  mean +2sig -2sig ap mean +2sig -2sig ap mean +2sig -2sig ap

      5 2014   107  112   98   10   92   95   88    9  124  136  108   12
      6 2014   104  111   96   10   90   93   88    9  122  130  106   12
      7 2014   102  107   96   10   88   91   86    9  119  127  106   11
      8 2014   100  105   94   10   87   88   85    9  116  124  105   11
      9 2014    98  101   92   10   85   86   83    9  114  121  103   11
     10 2014    96   99   90   10   84   85   82    9  111  119  102   11
     11 2014    94   97   90    9   82   83   82    9  109  116  100   11
     12 2014    92   95   88    9   81   82   81    8  107  112   98   10
      1 2015    90   93   88    9   79   80   79    8  104  111   96   10
      2 2015    88   91   86    9   78   79   78    8  102  107   96   10
      3 2015    87   88   85    9   77   78   77    8  100  105   94   10
      4 2015    85   86   83    9   76   76   76    8   98  101   92   10
      5 2015    84   85   82    9   75   75   75    8   96   99   90   10
      6 2015    82   83   82    9   74   74   74    8   94   97   90    9
      7 2015    81   82   81    8   73   73   73    8   92   95   88    9
      8 2015    79   80   79    8   72   72   72    8   90   93   88    9
      9 2015    78   79   78    8   71   71   71    8   88   91   86    9
     10 2015    77   78   77    8   70   71   71    8   87   88   85    9
     11 2015    76   76   76    8   69   71   70    8   85   86   83    9
     12 2015    75   75   75    8   69   71   69    8   84   85   82    9
      1 2016    74   74   74    8   69   71   69    8   82   83   82    9
      2 2016    73   73   73    8   69   71   67    8   81   82   81    8
      3 2016    72   72   72    8   69   71   67    8   79   80   79    8
      4 2016    71   71   71    8   69   71   67    8   78   79   78    8
      5 2016    70   71   71    8   69   71   67    8   77   78   77    8
      6 2016    69   71   70    8   69   71   67    8   76   76   76    8
      7 2016    69   71   69    8   69   71   67    8   75   75   75    8
      8 2016    69   71   69    8   69   71   67    8   74   74   74    8
      9 2016    69   71   67    8   69   71   67    8   73   73   73    8
     10 2016    69   71   67    8   69   71   67    8   72   72   72    8
     11 2016    69   71   67    8   69   71   67    8   71   71   71    8
     12 2016    69   71   67    8   69   71   67    8   70   71   71    8
      1 2017    69   71   67    8   69   71   67    8   69   71   70    8
      2 2017    69   71   67    8   69   71   67    8   69   71   69    8
      3 2017    69   71   67    8   69   71   67    8   69   71   69    8
      4 2017    69   71   67    8   69   71   67    8   69   71   67    8
      5 2017    69   71   67    8   69   71   67    8   69   71   67    8
      6 2017    69   71   67    8   69   71   67    8   69   71   67    8
      7 2017    69   71   67    8   69   71   67    8   69   71   67    8
      8 2017    69   71   67    8   69   72   67    8   69   71   67    8
      9 2017    69   71   67    8   70   75   67    8   69   71   67    8
